service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_107_1471_10_268_1,1,1,1,1,1,0,0,20200914,20260630
1_108_1474_10_268_2,0,0,0,0,0,1,0,20200914,20260630
1_109_1476_10_268_3,0,0,0,0,0,0,1,20200914,20260630
1_111_163_10_267_2,0,0,0,0,0,1,0,20250901,20260630
1_112_164_10_267_3,0,0,0,0,0,0,1,20250901,20260630
1_116_1477_10_414_1,1,1,1,1,1,0,0,20200914,20260630
1_129_1468_10_263_1,1,1,1,1,1,0,0,20250901,20260630
1_129_1468_10_442_1,1,1,1,1,1,0,0,20250901,20260630
1_130_1469_10_263_2,0,0,0,0,0,1,0,20250901,20260630
1_131_1470_10_263_3,0,0,0,0,0,0,1,20250901,20260630
1_181_176_10_277_1,1,1,1,1,1,0,0,20250901,20260630
1_290_1464_13_475_1,1,1,1,1,1,0,0,20220701,20260630
1_297_178_10_277_3,0,0,0,0,0,0,1,20250901,20260630
1_311_404_10_276_1,1,1,1,1,1,0,0,20250901,20260630
1_315_408_10_264_1,1,1,1,1,1,0,0,20200914,20260630
1_315_760_10_265_1,1,1,1,1,1,0,0,20200914,20260630
1_383_1466_10_290_1,1,1,1,1,1,0,0,20250901,20260630
1_384_1467_10_291_1,1,1,1,1,1,0,0,20250901,20260630
1_386_482_10_419_1,1,1,1,1,1,0,0,20250901,20260630
1_386_1047_10_272_1,1,1,1,1,1,0,0,20250901,20260630
1_392_487_10_273_1,1,1,1,1,1,0,0,20250901,20260630
1_392_487_10_420_1,1,1,1,1,1,0,0,20250901,20260630
1_600_683_10_490_1,1,1,1,1,1,0,0,20200914,20260630
1_601_682_6_489_1,1,1,1,1,1,0,0,20200914,20260630
1_602_684_10_492_1,1,1,1,1,1,0,0,20200914,20260630
1_603_685_6_492_1,1,1,1,1,1,0,0,20200914,20260630
1_631_717_24_239_1,1,1,1,1,1,0,0,20240901,20260630
1_632_718_24_239_4,0,0,0,0,0,1,1,20240901,20260630
1_637_724_24_243_1,1,1,1,1,1,0,0,20250901,20260630
1_637_724_24_416_1,1,1,1,1,1,0,0,20250901,20260630
1_638_725_24_243_4,0,0,0,0,0,1,1,20250901,20260630
1_639_726_24_244_1,1,1,1,1,1,0,0,20250901,20260630
1_639_726_24_245_1,1,1,1,1,1,0,0,20250901,20260630
1_640_727_24_245_4,0,0,0,0,0,1,1,20250901,20260630
1_642_1338_24_247_2,0,0,0,0,0,1,0,20250901,20260630
1_683_757_10_499_1,1,1,1,1,1,0,0,20200914,20260630
1_685_759_9_501_1,1,1,1,1,1,0,0,20250901,20260630
1_688_763_10_502_1,1,1,1,1,1,0,0,20200914,20260630
1_692_769_10_436_1,1,1,1,1,1,0,0,20250901,20260630
1_742_231_13_302_2,0,0,0,0,0,1,0,20250901,20260630
1_742_1462_13_259_2,0,0,0,0,0,1,0,20250901,20260630
1_742_1462_13_260_2,0,0,0,0,0,1,0,20250901,20260630
1_743_1463_13_259_3,0,0,0,0,0,0,1,20250901,20260630
1_747_1498_13_300_1,1,1,1,1,1,0,0,20250901,20260630
1_788_1079_10_267_1,1,1,1,1,1,0,0,20250901,20260630
1_800_1109_24_240_1,1,1,1,1,1,0,0,20250901,20260630
1_800_1109_24_241_1,1,1,1,1,1,0,0,20250901,20260630
1_804_1103_9_498_1,1,1,1,1,1,0,0,20210906,20260630
1_805_1104_9_498_2,0,0,0,0,0,1,0,20210906,20260630
1_806_1105_9_498_3,0,0,0,0,0,0,1,20210906,20260630
1_851_722_24_242_1,1,1,1,1,1,0,0,20250901,20260630
1_859_731_24_417_1,1,1,1,1,1,0,0,20250901,20260630
1_859_731_24_500_1,1,1,1,1,1,0,0,20250901,20260630
1_859_1231_24_247_1,1,1,1,1,1,0,0,20250901,20260630
1_860_1232_24_247_3,0,0,0,0,0,0,1,20250901,20260630
1_864_1242_24_240_4,0,0,0,0,0,1,1,20250901,20260630
1_864_1242_24_241_4,0,0,0,0,0,1,1,20250901,20260630
1_865_1243_10_277_2,0,0,0,0,0,1,0,20250901,20260630
1_866_1253_9_212_9,1,1,1,1,0,0,0,20250901,20260630
1_866_1253_9_213_9,1,1,1,1,0,0,0,20250901,20260630
1_866_1254_9_212_5,0,0,0,0,1,0,0,20250901,20260630
1_866_1254_9_213_5,0,0,0,0,1,0,0,20250901,20260630
1_867_1255_9_212_2,0,0,0,0,0,1,0,20250901,20260630
1_868_1256_9_212_3,0,0,0,0,0,0,1,20250901,20260630
1_869_1247_9_220_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1247_9_221_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1247_9_222_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1247_9_460_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1247_9_461_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1259_9_204_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1259_9_466_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1262_9_206_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1262_9_207_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1265_9_208_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1265_9_209_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1269_9_217_1,1,1,1,1,1,0,0,20250901,20260630
1_869_1272_9_210_1,1,1,1,1,1,0,0,20250901,20260630
1_870_1257_9_220_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1257_9_221_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1257_9_222_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1260_9_204_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1263_9_206_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1270_9_217_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1273_9_210_2,0,0,0,0,0,1,0,20250901,20260630
1_870_1273_9_211_2,0,0,0,0,0,1,0,20250901,20260630
1_871_1258_9_220_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1258_9_221_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1258_9_222_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1261_9_204_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1264_9_206_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1271_9_217_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1504_9_210_3,0,0,0,0,0,0,1,20250901,20260630
1_871_1504_9_211_3,0,0,0,0,0,0,1,20250901,20260630
1_872_1506_9_214_11,0,1,1,1,0,0,0,20250901,20260630
1_872_1506_9_438_11,0,1,1,1,0,0,0,20250901,20260630
1_872_1506_9_467_11,0,1,1,1,0,0,0,20250901,20260630
1_872_1507_9_214_8,1,0,0,0,0,0,0,20250901,20260630
1_872_1507_9_438_8,1,0,0,0,0,0,0,20250901,20260630
1_872_1507_9_467_8,1,0,0,0,0,0,0,20250901,20260630
1_872_1508_9_214_5,0,0,0,0,1,0,0,20250901,20260630
1_872_1508_9_438_5,0,0,0,0,1,0,0,20250901,20260630
1_872_1508_9_467_5,0,0,0,0,1,0,0,20250901,20260630
1_872_1508_9_468_5,0,0,0,0,1,0,0,20250901,20260630
1_873_1268_9_216_2,0,0,0,0,0,1,0,20250901,20260630
1_873_1509_9_214_2,0,0,0,0,0,1,0,20250901,20260630
1_873_1509_9_467_2,0,0,0,0,0,1,0,20250901,20260630
1_873_1509_9_468_2,0,0,0,0,0,1,0,20250901,20260630
1_874_1510_9_214_3,0,0,0,0,0,0,1,20250901,20260630
1_874_1510_9_467_3,0,0,0,0,0,0,1,20250901,20260630
1_874_1510_9_468_3,0,0,0,0,0,0,1,20250901,20260630
1_876_1502_13_299_2,0,0,0,0,0,1,0,20250901,20260630
1_876_1502_13_448_2,0,0,0,0,0,1,0,20250901,20260630
1_877_1503_13_299_3,0,0,0,0,0,0,1,20250901,20260630
1_877_1503_13_448_3,0,0,0,0,0,0,1,20250901,20260630
1_879_1285_6_232_2,0,0,0,0,0,1,0,20250901,20260630
1_879_1289_6_425_2,0,0,0,0,0,1,0,20250901,20260630
1_879_1289_6_427_2,0,0,0,0,0,1,0,20250901,20260630
1_879_1289_6_428_2,0,0,0,0,0,1,0,20250901,20260630
1_879_1294_6_234_2,0,0,0,0,0,1,0,20250901,20260630
1_879_1296_6_233_2,0,0,0,0,0,1,0,20250901,20260630
1_880_1286_6_232_3,0,0,0,0,0,0,1,20250901,20260630
1_880_1290_6_425_3,0,0,0,0,0,0,1,20250901,20260630
1_880_1290_6_427_3,0,0,0,0,0,0,1,20250901,20260630
1_880_1295_6_234_3,0,0,0,0,0,0,1,20250901,20260630
1_881_1291_17_238_1,1,1,1,1,1,0,0,20250901,20260630
1_885_1297_13_306_1,1,1,1,1,1,0,0,20250901,20260630
1_885_1299_13_308_1,1,1,1,1,1,0,0,20250901,20260630
1_885_1299_13_311_1,1,1,1,1,1,0,0,20250901,20260630
1_885_1302_13_314_1,1,1,1,1,1,0,0,20250901,20260630
1_887_1301_13_308_3,0,0,0,0,0,0,1,20250901,20260630
1_887_1301_13_309_3,0,0,0,0,0,0,1,20250901,20260630
1_887_1304_13_314_3,0,0,0,0,0,0,1,20250901,20260630
1_888_1512_10_286_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1523_10_441_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1524_10_278_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1524_10_279_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1524_10_282_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1524_10_283_1,1,1,1,1,1,0,0,20250901,20260630
1_888_1524_10_284_1,1,1,1,1,1,0,0,20250901,20260630
1_889_1306_10_286_2,0,0,0,0,0,1,0,20250901,20260630
1_889_1525_10_279_2,0,0,0,0,0,1,0,20250901,20260630
1_889_1525_10_281_2,0,0,0,0,0,1,0,20250901,20260630
1_889_1525_10_282_2,0,0,0,0,0,1,0,20250901,20260630
1_889_1525_10_284_2,0,0,0,0,0,1,0,20250901,20260630
1_890_1307_10_286_12,0,0,0,0,0,0,1,20250901,20260630
1_890_1484_10_286_13,0,0,0,0,0,0,0,20250901,20260630
