service_id,date,exception_type
1_109_1476_10_268_3,20260101,1
1_109_1476_10_268_3,20260106,1
1_109_1476_10_268_3,20260228,1
1_109_1476_10_268_3,20260402,1
1_109_1476_10_268_3,20260403,1
1_109_1476_10_268_3,20260501,1
1_109_1476_10_268_3,20260815,1
1_109_1476_10_268_3,20261212,1
1_109_1476_10_268_3,20261102,1
1_109_1476_10_268_3,20261207,1
1_109_1476_10_268_3,20261208,1
1_109_1476_10_268_3,20261225,1
1_109_1476_10_268_3,20260422,1
1_109_1476_10_268_3,20260604,1
1_112_164_10_267_3,20260101,1
1_112_164_10_267_3,20260106,1
1_112_164_10_267_3,20260228,1
1_112_164_10_267_3,20260402,1
1_112_164_10_267_3,20260403,1
1_112_164_10_267_3,20260501,1
1_112_164_10_267_3,20260815,1
1_112_164_10_267_3,20261212,1
1_112_164_10_267_3,20261102,1
1_112_164_10_267_3,20261207,1
1_112_164_10_267_3,20261208,1
1_112_164_10_267_3,20261225,1
1_112_164_10_267_3,20260422,1
1_112_164_10_267_3,20260604,1
1_131_1470_10_263_3,20260101,1
1_131_1470_10_263_3,20260106,1
1_131_1470_10_263_3,20260228,1
1_131_1470_10_263_3,20260402,1
1_131_1470_10_263_3,20260403,1
1_131_1470_10_263_3,20260501,1
1_131_1470_10_263_3,20260815,1
1_131_1470_10_263_3,20261212,1
1_131_1470_10_263_3,20261102,1
1_131_1470_10_263_3,20261207,1
1_131_1470_10_263_3,20261208,1
1_131_1470_10_263_3,20261225,1
1_131_1470_10_263_3,20260422,1
1_131_1470_10_263_3,20260604,1
1_297_178_10_277_3,20260101,1
1_297_178_10_277_3,20260106,1
1_297_178_10_277_3,20260228,1
1_297_178_10_277_3,20260402,1
1_297_178_10_277_3,20260403,1
1_297_178_10_277_3,20260501,1
1_297_178_10_277_3,20260815,1
1_297_178_10_277_3,20261212,1
1_297_178_10_277_3,20261102,1
1_297_178_10_277_3,20261207,1
1_297_178_10_277_3,20261208,1
1_297_178_10_277_3,20261225,1
1_297_178_10_277_3,20260422,1
1_297_178_10_277_3,20260604,1
1_632_718_24_239_4,20260101,1
1_632_718_24_239_4,20260106,1
1_632_718_24_239_4,20260228,1
1_632_718_24_239_4,20260402,1
1_632_718_24_239_4,20260403,1
1_632_718_24_239_4,20260501,1
1_632_718_24_239_4,20260815,1
1_632_718_24_239_4,20261212,1
1_632_718_24_239_4,20261102,1
1_632_718_24_239_4,20261207,1
1_632_718_24_239_4,20261208,1
1_632_718_24_239_4,20261225,1
1_632_718_24_239_4,20260422,1
1_632_718_24_239_4,20260604,1
1_638_725_24_243_4,20260101,1
1_638_725_24_243_4,20260106,1
1_638_725_24_243_4,20260228,1
1_638_725_24_243_4,20260402,1
1_638_725_24_243_4,20260403,1
1_638_725_24_243_4,20260501,1
1_638_725_24_243_4,20260815,1
1_638_725_24_243_4,20261212,1
1_638_725_24_243_4,20261102,1
1_638_725_24_243_4,20261207,1
1_638_725_24_243_4,20261208,1
1_638_725_24_243_4,20261225,1
1_638_725_24_243_4,20260422,1
1_638_725_24_243_4,20260604,1
1_640_727_24_245_4,20260101,1
1_640_727_24_245_4,20260106,1
1_640_727_24_245_4,20260228,1
1_640_727_24_245_4,20260402,1
1_640_727_24_245_4,20260403,1
1_640_727_24_245_4,20260501,1
1_640_727_24_245_4,20260815,1
1_640_727_24_245_4,20261212,1
1_640_727_24_245_4,20261102,1
1_640_727_24_245_4,20261207,1
1_640_727_24_245_4,20261208,1
1_640_727_24_245_4,20261225,1
1_640_727_24_245_4,20260422,1
1_640_727_24_245_4,20260604,1
1_743_1463_13_259_3,20260101,1
1_743_1463_13_259_3,20260106,1
1_743_1463_13_259_3,20260228,1
1_743_1463_13_259_3,20260402,1
1_743_1463_13_259_3,20260403,1
1_743_1463_13_259_3,20260501,1
1_743_1463_13_259_3,20260815,1
1_743_1463_13_259_3,20261212,1
1_743_1463_13_259_3,20261102,1
1_743_1463_13_259_3,20261207,1
1_743_1463_13_259_3,20261208,1
1_743_1463_13_259_3,20261225,1
1_743_1463_13_259_3,20260422,1
1_743_1463_13_259_3,20260604,1
1_806_1105_9_498_3,20260101,1
1_806_1105_9_498_3,20260106,1
1_806_1105_9_498_3,20260228,1
1_806_1105_9_498_3,20260402,1
1_806_1105_9_498_3,20260403,1
1_806_1105_9_498_3,20260501,1
1_806_1105_9_498_3,20260815,1
1_806_1105_9_498_3,20261212,1
