route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_267,1_111_163_10_267_2,1_13514_111,,1,1_267_V
1_267,1_111_163_10_267_2,1_13515_111,,1,1_267_V
1_267,1_111_163_10_267_2,1_13516_111,,0,1_267_I
1_267,1_111_163_10_267_2,1_13517_111,,0,1_267_I
1_267,1_112_164_10_267_3,1_13518_112,,1,1_267_V
1_267,1_112_164_10_267_3,1_13519_112,,0,1_267_I
1_277,1_181_176_10_277_1,1_13714_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13715_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13716_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13717_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13718_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13719_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13720_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13721_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13726_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13727_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13728_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13729_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13730_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13731_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13732_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13733_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13734_181,,0,1_277_I
1_277,1_297_178_10_277_3,1_13770_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13771_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13772_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13773_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13774_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13775_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13776_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13777_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13778_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13779_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13780_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13781_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13782_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13783_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13784_297,,0,1_277_I
1_302,1_742_231_13_302_2,1_15304_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15305_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15306_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15307_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15308_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15309_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15310_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15311_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15312_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15313_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15314_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15315_742,,1,1_302_V
1_302,1_742_231_13_302_2,1_15316_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15317_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15318_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15319_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15320_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15321_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15322_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15323_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15324_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15326_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15327_742,,0,1_302_I
1_302,1_742_231_13_302_2,1_15328_742,,0,1_302_I
1_276,1_311_404_10_276_1,1_20669_311,,1,1_276_V
1_276,1_311_404_10_276_1,1_20670_311,,1,1_276_V
1_276,1_311_404_10_276_1,1_20671_311,,0,1_276_I
1_276,1_311_404_10_276_1,1_20672_311,,0,1_276_I
1_264,1_315_408_10_264_1,1_20822_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20823_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20824_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20825_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20826_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20827_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20828_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20829_315,,1,1_264_V
1_264,1_315_408_10_264_1,1_20830_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20831_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20832_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20833_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20834_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20835_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20836_315,,0,1_264_I
1_264,1_315_408_10_264_1,1_20837_315,,0,1_264_I
1_271,1_901_420_10_271_4,1_21084_901,,0,1_271_I
1_271,1_901_420_10_271_4,1_21085_901,,0,1_271_I
1_271,1_901_420_10_271_4,1_21086_901,,0,1_271_I
1_271,1_901_420_10_271_4,1_21087_901,,0,1_271_I
1_271,1_901_420_10_271_4,1_21088_901,,0,1_271_I
1_419,1_386_482_10_419_1,1_22139_386,,1,1_419_V
1_419,1_386_482_10_419_1,1_22140_386,,1,1_419_V
1_273,1_392_487_10_273_1,1_22149_392,,1,1_273_V
1_273,1_392_487_10_273_1,1_22150_392,,0,1_273_I
1_273,1_392_487_10_273_1,1_22151_392,,0,1_273_I
1_273,1_392_487_10_273_1,1_22152_392,,0,1_273_I
1_273,1_900_489_10_273_3,1_22155_900,,0,1_273_I
1_489,1_601_682_6_489_1,1_24973_601,,0,1_489_I
1_489,1_601_682_6_489_1,1_24974_601,,0,1_489_I
1_490,1_600_683_10_490_1,1_24977_600,,1,1_490_V
1_490,1_600_683_10_490_1,1_24978_600,,1,1_490_V
1_492,1_602_684_10_492_1,1_24984_602,,1,1_492_V
1_492,1_602_684_10_492_1,1_24985_602,,1,1_492_V
1_492,1_603_685_6_492_1,1_24987_603,,0,1_492_I
1_492,1_603_685_6_492_1,1_24988_603,,0,1_492_I
1_239,1_631_717_24_239_1,1_26288_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26289_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26290_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26291_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26292_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26293_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26294_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26295_631,,0,1_239_I
1_239,1_631_717_24_239_1,1_26296_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26297_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26298_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26299_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26300_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26301_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26302_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26303_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26304_631,,1,1_239_V
1_239,1_631_717_24_239_1,1_26305_631,,0,1_239_I
1_239,1_632_718_24_239_4,1_26306_632,,0,1_239_I
1_239,1_632_718_24_239_4,1_26307_632,,0,1_239_I
1_239,1_632_718_24_239_4,1_26308_632,,0,1_239_I
1_239,1_632_718_24_239_4,1_26309_632,,1,1_239_V
1_239,1_632_718_24_239_4,1_26310_632,,1,1_239_V
1_239,1_632_718_24_239_4,1_26311_632,,1,1_239_V
1_242,1_851_722_24_242_1,1_26369_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26370_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26371_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26372_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26373_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26374_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26375_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26376_851,,0,1_242_I
1_242,1_851_722_24_242_1,1_26377_851,,0,1_242_I
