route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,direction_id,wheelchair_accessible,bikes_allowed
L1,L1Domingo25,IDAL1Domingo25_1,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_1,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_2,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_2,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_3,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_3,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_4,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_4,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_5,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_5,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_6,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_6,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_7,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_7,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_8,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_8,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_9,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_9,Albolote,,2,1,1,1
L1,L1Domingo25,VUELTAL1Domingo25_10,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_10,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_11,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_11,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_12,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_12,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_13,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_13,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_14,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_14,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_15,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_15,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_16,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_16,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_17,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_17,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_18,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_18,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_19,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_19,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_20,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_20,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_21,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_21,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_22,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_22,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_23,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_23,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_24,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_24,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_25,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_25,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_26,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_26,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_27,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_27,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_28,Albolote,,2,1,1,1
L1,L1Domingo25,VUELTAL1Domingo25_29,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_28,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_30,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_29,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_31,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_30,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_32,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_31,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_33,Albolote,,2,1,1,1
L1,L1Domingo25,IDAL1Domingo25_32,Armilla,,1,0,1,1
L1,L1Domingo25,VUELTAL1Domingo25_34,Albolote,,2,1,1,1
