service_id,date,exception_type
6ec81bf7-44c5-4b98-99d9-389d644b69f6_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20260604,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20260604,1
8cc552a0-4669-473b-9e86-052eb879142c_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20260815,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20260815,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261012,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261012,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261102,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261102,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261207,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261207,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261208,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261208,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261225,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20261225,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270101,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270101,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270106,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270106,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270301,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270301,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270325,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270325,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270326,2
0c6aa415-c604-4695-a81a-6313d210d855_95fef66b-0ad1-4c1c-b91e-62a04f1cc680,20270326,1


