route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
b4ab663b-59a5-4eb6-bd58-b7c4fe9c2a1b,GRAN,F6,PALACIO DE CONGRESOS-FERIAL,,3,,469F20,000000
5f388836-e5f2-4b0c-9f71-151f61e61d29,GRAN,F2,ZAIDIN-FERIAL,,3,,FF0000,FFFFFF
92d59f98-3a50-4583-a454-eb859c43a14e,GRAN,F5,ALBAICIN-FERIAL,,3,,0000FF,FFFFFF
676cff4b-9404-4c76-b411-eb56b49a419f,GRAN,F3,AVDA. DILAR-FERIAL,,3,,FCBE03,000000
033118aa-8d63-4470-8785-9bd6978b5f48,GRAN,F1,PINILLOS-FERIAL,,3,,0080FF,FFFFFF
9ae0edd4-b493-4409-8c70-46ae298ad7d5,GRAN,F4,CHANA-FERIAL,,3,,FF8000,000000
42451884-3ef7-4ebb-9617-829bdc21db47,GRAN,111,BUHO CAMINO RONDA - AYTO. - GRAN VIA,,3,,525252,FFFFFF
1b8e01b1-cc19-4dbc-bc6d-d214fae105b1,GRAN,121,BUHO GRAN VIA - VIOLON - CAMINO RONDA,,3,,525252,FFFFFF
a971413b-555d-4b16-a5d4-6f5be311b2d0,GRAN,33,L.33 CENES DE LA VEGA - ESTACIÓN AUTOBUSES,,3,,E5097A,FFFFFF
8d6780aa-93ff-48e2-ae46-6fe24423a53e,GRAN,9,L.9 LOS REBITES - CHANA,,3,,40AC3D,FFFFFF
0de071db-9895-466f-9e30-08d6169d41d2,GRAN,4,L.4 CHANA - ZAIDÍN ,,3,,E31F24,FFFFFF
5eda99a2-e141-4a6a-af8a-a41c1a6d2509,GRAN,5,L.5 BEETHOVEN - P. NUEVA GRANADA,,3,,678434,FFFFFF
eb50d256-a74e-4008-ac22-4fb4ad7bf4e4,GRAN,8,L.8 PTS (DILAR) - PALACIO DEPORTES - CNO. ALFACAR,,3,,67796F,FFFFFF
ea1b8c92-9d5e-4fde-ad1b-9bd689ba940e,GRAN,11,L.11 CIRCULAR CNO. RONDA - AYTO. - GRAN VÍA,,3,,9C92C5,000000
777f369d-c6d5-45bf-9b5a-54e020b3e687,GRAN,21,L.21 FORUM - P. CIENCIAS - CENTRO - E. AUTOBUSES,,3,,F39210,000000
7ccc0bd6-280c-4cb7-8609-6d11fb881199,GRAN,N1,L.N1 BOBADILLA -  TRIUNFO,,3,,614232,FFFFFF
437db0dc-bc57-4e54-8bdf-20823cef2215,GRAN,N3,L.N3 CERRILLO MARACENA - TRIUNFO,,3,,BF7329,000000
d0936d24-3f3e-4571-b40e-806f9a3c7783,GRAN,N5,L.N5 MODESTO CENDOYA -JOAQUINA EGUARAS - TRIUNFO,,3,,00A8B1,FFFFFF
47191096-0a58-41fb-9ca4-3963d2c2a312,GRAN,N6,L.N6 CASERÍA DEL CERRO - AVDA. PULIANAS - CALETA,,3,,8D297B,FFFFFF
ef7d5fe2-ced5-4257-af60-8e13b731f931,GRAN,N9,L.N9 SAN MIGUEL - TRIUNFO,,3,,F1B508,000000
715de1a0-8779-447f-8d1e-58bb44f45617,GRAN,S0,L.S0 BOLA DE ORO - PT SALUD,,3,,50504E,FFFFFF
ff1cc445-364f-4e49-a2d1-f28999a1a519,GRAN,S2,L.S2 VILLA ARGAZ - CENTRO,,3,,8C3231,FFFFFF
135a7647-537d-4595-b973-9dd1d1e30b29,GRAN,C5,L.C5 NEPTUNO - CENTRO,,3,,C53E3F,FFFFFF
0a558953-acc7-4515-a220-baed1f3f47b1,GRAN,C30,L.C30 ALHAMBRA - CENTRO,,3,,EA5570,000000
5c2b8aea-b93b-4b95-961e-eac2cefeef4d,GRAN,C31,L.C31 ALBAICÍN - CENTRO,,3,,D95A21,FFFFFF
b4d3a0b9-809d-4af4-acd8-427509be13e4,GRAN,C32,L. C32 ALHAMBRA - ALBAICÍN ,,3,,C49E0F,000000
9eb6170c-c601-43d3-ae1e-e1e9cdae6471,GRAN,C34,L.C34 SACROMONTE - CENTRO,,3,,5C9C78,000000
8b90f639-246b-4df6-8f0a-0044b9aaded3,GRAN,C35,L. C35 CEMENTERIO - B. ABOGADO -  CENTRO,,3,,008CD2,FFFFFF
f5df96a2-981b-4b69-8a48-d02155b4db3e,GRAN,U1,L.U1 CAMPUS AYNADAMAR - CAMPUS CARTUJA,,3,,6A5BA3,FFFFFF
71aa77fb-9cb9-4992-94f0-b5824f52be89,GRAN,U2,L.U2 CAMPUS FUENTE NUEVA - CARTUJA,,3,,8D297B,FFFFFF
2c2b95fc-33f3-4570-927f-cb1833d03ba9,GRAN,U3,L.U3 PT SALUD - CAMPUS CARTUJA - CNO. ALFACAR,,3,,008080,FFFFFF
6e96f547-73ca-41cc-a743-6030e40d27a9,GRAN,13,L.13 CEMENTERIO - P. DE CONGRESOS,,3,,A2987A,000000
dc7d9950-0390-40b9-a2e3-8e4b17ad7ec2,GRAN,7,L.7 FARGUE - PARQUE ALQUERÍAS,,3,,00A1E3,FFFFFF
acd189d1-4bd6-49bf-817c-028b89f2a5ff,GRAN,1123,GRANADA SOUND - P. CONGRESOS,,3,,87E6D4,000000
f1130497-0f48-42c9-9eee-7837a44b7975,GRAN,C32 RF,REFUERZO TRAMO OBRAS,,3,,DA8B53,000000
